"Source","Input","Mesh","Output","Count","DropChance","Tier"
"JSON","exdeorum:crushed_blackstone","exdeorum:string_mesh","exdeorum:basalt_pebble","1","50.0%","1"
"JSON","exdeorum:crushed_blackstone","exdeorum:string_mesh","exdeorum:blackstone_pebble","1","60.0%","1"
"JSON","exdeorum:crushed_deepslate","exdeorum:string_mesh","exdeorum:boron_ore_chunk","1","5.00%","1"
"JSON","exdeorum:crushed_deepslate","exdeorum:string_mesh","exdeorum:copper_ore_chunk","1","12.00%","1"
"JSON","exdeorum:crushed_deepslate","exdeorum:string_mesh","exdeorum:deepslate_pebble","1","50.0%","1"
"JSON","exdeorum:crushed_deepslate","exdeorum:string_mesh","exdeorum:gold_ore_chunk","1","8.00%","1"
"JSON","exdeorum:crushed_deepslate","exdeorum:string_mesh","exdeorum:iridium_ore_chunk","1","4.00%","1"
"JSON","exdeorum:crushed_deepslate","exdeorum:string_mesh","exdeorum:iron_ore_chunk","1","12.00%","1"
"JSON","exdeorum:crushed_deepslate","exdeorum:string_mesh","exdeorum:lead_ore_chunk","1","5.00%","1"
"JSON","exdeorum:crushed_deepslate","exdeorum:string_mesh","exdeorum:lithium_ore_chunk","1","4.50%","1"
"JSON","exdeorum:crushed_deepslate","exdeorum:string_mesh","exdeorum:magnesium_ore_chunk","1","9.00%","1"
"JSON","exdeorum:crushed_deepslate","exdeorum:string_mesh","exdeorum:nickel_ore_chunk","1","4.00%","1"
"JSON","exdeorum:crushed_deepslate","exdeorum:string_mesh","exdeorum:osmium_ore_chunk","1","6.00%","1"
"JSON","exdeorum:crushed_deepslate","exdeorum:string_mesh","exdeorum:platinum_ore_chunk","1","3.00%","1"
"JSON","exdeorum:crushed_deepslate","exdeorum:string_mesh","exdeorum:silver_ore_chunk","1","5.00%","1"
"JSON","exdeorum:crushed_deepslate","exdeorum:string_mesh","exdeorum:thorium_ore_chunk","1","6.00%","1"
"JSON","exdeorum:crushed_deepslate","exdeorum:string_mesh","exdeorum:tin_ore_chunk","1","5.00%","1"
"JSON","exdeorum:crushed_deepslate","exdeorum:string_mesh","exdeorum:uranium_ore_chunk","1","4.00%","1"
"JSON","exdeorum:crushed_netherrack","exdeorum:string_mesh","exdeorum:basalt_pebble","1","30.0%","1"
"JSON","exdeorum:crushed_netherrack","exdeorum:string_mesh","exdeorum:blackstone_pebble","1","40.0%","1"
"JSON","exdeorum:crushed_netherrack","exdeorum:string_mesh","exdeorum:cobalt_ore_chunk","1","4.00%","1"
"JSON","exdeorum:crushed_netherrack","exdeorum:string_mesh","exdeorum:crimson_nylium_spores","1","5.00%","1"
"JSON","exdeorum:crushed_netherrack","exdeorum:string_mesh","exdeorum:warped_nylium_spores","1","5.00%","1"
